day_dt,sunrise_tm,sunset_tm,noon_tm,noon_altitude,noon_distance,day_time
01/01/2010,08:07:00,16:25:00,12:16:00,17.9,147.097,08:18:00
02/01/2010,08:07:00,16:26:00,12:17:00,18,147.096,08:19:00
03/01/2010,08:07:00,16:27:00,12:17:00,18.1,147.096,08:20:00
04/01/2010,08:07:00,16:28:00,12:17:00,18.2,147.098,08:21:00
05/01/2010,08:07:00,16:29:00,12:18:00,18.3,147.1,08:22:00
06/01/2010,08:07:00,16:30:00,12:18:00,18.4,147.103,08:23:00
07/01/2010,08:06:00,16:32:00,12:19:00,18.5,147.106,08:26:00
08/01/2010,08:06:00,16:33:00,12:19:00,18.7,147.111,08:27:00
09/01/2010,08:05:00,16:34:00,12:20:00,18.8,147.116,08:29:00
10/01/2010,08:05:00,16:35:00,12:20:00,19,147.122,08:30:00
11/01/2010,08:04:00,16:37:00,12:20:00,19.1,147.129,08:33:00
12/01/2010,08:04:00,16:38:00,12:21:00,19.3,147.136,08:34:00
13/01/2010,08:03:00,16:40:00,12:21:00,19.4,147.144,08:37:00
14/01/2010,08:03:00,16:41:00,12:22:00,19.6,147.152,08:38:00
15/01/2010,08:02:00,16:42:00,12:22:00,19.8,147.161,08:40:00
16/01/2010,08:01:00,16:44:00,12:22:00,20,147.17,08:43:00
17/01/2010,08:00:00,16:45:00,12:23:00,20.2,147.18,08:45:00
18/01/2010,07:59:00,16:47:00,12:23:00,20.4,147.19,08:48:00
19/01/2010,07:59:00,16:48:00,12:23:00,20.6,147.201,08:49:00
20/01/2010,07:58:00,16:50:00,12:24:00,20.8,147.213,08:52:00
21/01/2010,07:57:00,16:51:00,12:24:00,21,147.225,08:54:00
22/01/2010,07:56:00,16:53:00,12:24:00,21.3,147.238,08:57:00
23/01/2010,07:55:00,16:55:00,12:24:00,21.5,147.252,09:00:00
24/01/2010,07:53:00,16:56:00,12:25:00,21.7,147.267,09:03:00
25/01/2010,07:52:00,16:58:00,12:25:00,22,147.282,09:06:00
26/01/2010,07:51:00,16:59:00,12:25:00,22.2,147.298,09:08:00
27/01/2010,07:50:00,17:01:00,12:25:00,22.5,147.315,09:11:00
28/01/2010,07:49:00,17:03:00,12:25:00,22.8,147.333,09:14:00
29/01/2010,07:47:00,17:04:00,12:26:00,23,147.351,09:17:00
30/01/2010,07:46:00,17:06:00,12:26:00,23.3,147.371,09:20:00
31/01/2010,07:45:00,17:08:00,12:26:00,23.6,147.391,09:23:00
01/02/2010,07:43:00,17:09:00,12:26:00,23.9,147.413,09:26:00
02/02/2010,07:42:00,17:11:00,12:26:00,24.2,147.435,09:29:00
03/02/2010,07:41:00,17:13:00,12:26:00,24.5,147.458,09:32:00
04/02/2010,07:39:00,17:14:00,12:26:00,24.7,147.482,09:35:00
05/02/2010,07:38:00,17:16:00,12:26:00,25.1,147.506,09:38:00
06/02/2010,07:36:00,17:18:00,12:26:00,25.4,147.531,09:42:00
07/02/2010,07:34:00,17:19:00,12:27:00,25.7,147.557,09:45:00
08/02/2010,07:33:00,17:21:00,12:27:00,26,147.583,09:48:00
09/02/2010,07:31:00,17:23:00,12:27:00,26.3,147.61,09:52:00
10/02/2010,07:30:00,17:24:00,12:27:00,26.6,147.637,09:54:00
11/02/2010,07:28:00,17:26:00,12:27:00,27,147.665,09:58:00
12/02/2010,07:26:00,17:28:00,12:27:00,27.3,147.693,10:02:00
13/02/2010,07:25:00,17:29:00,12:27:00,27.6,147.722,10:04:00
14/02/2010,07:23:00,17:31:00,12:27:00,28,147.75,10:08:00
15/02/2010,07:21:00,17:33:00,12:26:00,28.3,147.779,10:12:00
16/02/2010,07:19:00,17:34:00,12:26:00,28.7,147.809,10:15:00
17/02/2010,07:17:00,17:36:00,12:26:00,29,147.839,10:19:00
18/02/2010,07:16:00,17:38:00,12:26:00,29.4,147.869,10:22:00
19/02/2010,07:14:00,17:39:00,12:26:00,29.7,147.9,10:25:00
20/02/2010,07:12:00,17:41:00,12:26:00,30.1,147.931,10:29:00
21/02/2010,07:10:00,17:43:00,12:26:00,30.4,147.963,10:33:00
22/02/2010,07:08:00,17:44:00,12:26:00,30.8,147.995,10:36:00
23/02/2010,07:06:00,17:46:00,12:26:00,31.2,148.027,10:40:00
24/02/2010,07:04:00,17:48:00,12:26:00,31.5,148.061,10:44:00
25/02/2010,07:02:00,17:49:00,12:25:00,31.9,148.094,10:47:00
26/02/2010,07:00:00,17:51:00,12:25:00,32.3,148.129,10:51:00
27/02/2010,06:58:00,17:52:00,12:25:00,32.7,148.164,10:54:00
28/02/2010,06:57:00,17:54:00,12:25:00,33,148.2,10:57:00
01/03/2010,06:55:00,17:56:00,12:25:00,33.4,148.236,11:01:00
02/03/2010,06:53:00,17:57:00,12:24:00,33.8,148.273,11:04:00
03/03/2010,06:50:00,17:59:00,12:24:00,34.2,148.31,11:09:00
04/03/2010,06:48:00,18:00:00,12:24:00,34.6,148.348,11:12:00
05/03/2010,06:46:00,18:02:00,12:24:00,35,148.387,11:16:00
06/03/2010,06:44:00,18:04:00,12:24:00,35.3,148.426,11:20:00
07/03/2010,06:42:00,18:05:00,12:23:00,35.7,148.465,11:23:00
08/03/2010,06:40:00,18:07:00,12:23:00,36.1,148.505,11:27:00
09/03/2010,06:38:00,18:08:00,12:23:00,36.5,148.545,11:30:00
10/03/2010,06:36:00,18:10:00,12:23:00,36.9,148.585,11:34:00
11/03/2010,06:34:00,18:12:00,12:22:00,37.3,148.625,11:38:00
12/03/2010,06:32:00,18:13:00,12:22:00,37.7,148.666,11:41:00
13/03/2010,06:30:00,18:15:00,12:22:00,38.1,148.707,11:45:00
14/03/2010,07:28:00,19:16:00,13:22:00,38.5,148.747,11:48:00
15/03/2010,07:26:00,19:18:00,13:21:00,38.9,148.788,11:52:00
16/03/2010,07:24:00,19:19:00,13:21:00,39.3,148.829,11:55:00
17/03/2010,07:21:00,19:21:00,13:21:00,39.7,148.87,12:00:00
18/03/2010,07:19:00,19:22:00,13:20:00,40.1,148.91,12:03:00
19/03/2010,07:17:00,19:24:00,13:20:00,40.5,148.951,12:07:00
20/03/2010,07:15:00,19:25:00,13:20:00,40.8,148.992,12:10:00
21/03/2010,07:13:00,19:27:00,13:19:00,41.2,149.033,12:14:00
22/03/2010,07:11:00,19:29:00,13:19:00,41.6,149.074,12:18:00
23/03/2010,07:09:00,19:30:00,13:19:00,42,149.115,12:21:00
24/03/2010,07:07:00,19:32:00,13:19:00,42.4,149.157,12:25:00
25/03/2010,07:04:00,19:33:00,13:18:00,42.8,149.198,12:29:00
26/03/2010,07:02:00,19:35:00,13:18:00,43.2,149.24,12:33:00
27/03/2010,07:00:00,19:36:00,13:18:00,43.6,149.282,12:36:00
28/03/2010,06:58:00,19:38:00,13:17:00,44,149.325,12:40:00
29/03/2010,06:56:00,19:39:00,13:17:00,44.4,149.367,12:43:00
30/03/2010,06:54:00,19:41:00,13:17:00,44.8,149.41,12:47:00
31/03/2010,06:52:00,19:42:00,13:16:00,45.2,149.453,12:50:00
01/04/2010,06:50:00,19:44:00,13:16:00,45.5,149.497,12:54:00
02/04/2010,06:47:00,19:45:00,13:16:00,45.9,149.54,12:58:00
03/04/2010,06:45:00,19:47:00,13:16:00,46.3,149.584,13:02:00
04/04/2010,06:43:00,19:48:00,13:15:00,46.7,149.628,13:05:00
05/04/2010,06:41:00,19:50:00,13:15:00,47.1,149.671,13:09:00
06/04/2010,06:39:00,19:51:00,13:15:00,47.4,149.715,13:12:00
07/04/2010,06:37:00,19:53:00,13:14:00,47.8,149.759,13:16:00
08/04/2010,06:35:00,19:54:00,13:14:00,48.2,149.803,13:19:00
09/04/2010,06:33:00,19:56:00,13:14:00,48.6,149.846,13:23:00
10/04/2010,06:31:00,19:57:00,13:14:00,48.9,149.89,13:26:00
11/04/2010,06:29:00,19:59:00,13:13:00,49.3,149.933,13:30:00
12/04/2010,06:27:00,20:00:00,13:13:00,49.7,149.975,13:33:00
13/04/2010,06:25:00,20:02:00,13:13:00,50,150.018,13:37:00
14/04/2010,06:23:00,20:04:00,13:13:00,50.4,150.06,13:41:00
15/04/2010,06:21:00,20:05:00,13:12:00,50.7,150.102,13:44:00
16/04/2010,06:19:00,20:07:00,13:12:00,51.1,150.143,13:48:00
17/04/2010,06:17:00,20:08:00,13:12:00,51.5,150.184,13:51:00
18/04/2010,06:15:00,20:10:00,13:12:00,51.8,150.225,13:55:00
19/04/2010,06:13:00,20:11:00,13:11:00,52.1,150.265,13:58:00
20/04/2010,06:11:00,20:13:00,13:11:00,52.5,150.305,14:02:00
21/04/2010,06:09:00,20:14:00,13:11:00,52.8,150.345,14:05:00
22/04/2010,06:07:00,20:16:00,13:11:00,53.2,150.385,14:09:00
23/04/2010,06:05:00,20:17:00,13:11:00,53.5,150.424,14:12:00
24/04/2010,06:03:00,20:19:00,13:10:00,53.8,150.464,14:16:00
25/04/2010,06:01:00,20:20:00,13:10:00,54.2,150.503,14:19:00
26/04/2010,06:00:00,20:22:00,13:10:00,54.5,150.542,14:22:00
27/04/2010,05:58:00,20:23:00,13:10:00,54.8,150.581,14:25:00
28/04/2010,05:56:00,20:25:00,13:10:00,55.1,150.62,14:29:00
29/04/2010,05:54:00,20:26:00,13:10:00,55.4,150.659,14:32:00
30/04/2010,05:53:00,20:28:00,13:10:00,55.7,150.697,14:35:00
01/05/2010,05:51:00,20:29:00,13:09:00,56,150.736,14:38:00
02/05/2010,05:49:00,20:31:00,13:09:00,56.3,150.774,14:42:00
03/05/2010,05:47:00,20:32:00,13:09:00,56.6,150.813,14:45:00
04/05/2010,05:46:00,20:34:00,13:09:00,56.9,150.85,14:48:00
05/05/2010,05:44:00,20:35:00,13:09:00,57.2,150.888,14:51:00
06/05/2010,05:42:00,20:36:00,13:09:00,57.5,150.925,14:54:00
07/05/2010,05:41:00,20:38:00,13:09:00,57.7,150.962,14:57:00
08/05/2010,05:39:00,20:39:00,13:09:00,58,150.998,15:00:00
09/05/2010,05:38:00,20:41:00,13:09:00,58.3,151.034,15:03:00
10/05/2010,05:36:00,20:42:00,13:09:00,58.5,151.069,15:06:00
11/05/2010,05:35:00,20:44:00,13:09:00,58.8,151.104,15:09:00
12/05/2010,05:33:00,20:45:00,13:09:00,59.1,151.138,15:12:00
13/05/2010,05:32:00,20:46:00,13:09:00,59.3,151.171,15:14:00
14/05/2010,05:31:00,20:48:00,13:09:00,59.5,151.204,15:17:00
15/05/2010,05:29:00,20:49:00,13:09:00,59.8,151.236,15:20:00
16/05/2010,05:28:00,20:50:00,13:09:00,60,151.267,15:22:00
17/05/2010,05:27:00,20:52:00,13:09:00,60.2,151.297,15:25:00
18/05/2010,05:25:00,20:53:00,13:09:00,60.5,151.327,15:28:00
19/05/2010,05:24:00,20:54:00,13:09:00,60.7,151.357,15:30:00
20/05/2010,05:23:00,20:56:00,13:09:00,60.9,151.386,15:33:00
21/05/2010,05:22:00,20:57:00,13:09:00,61.1,151.414,15:35:00
22/05/2010,05:21:00,20:58:00,13:09:00,61.3,151.442,15:37:00
23/05/2010,05:20:00,20:59:00,13:09:00,61.5,151.469,15:39:00
24/05/2010,05:19:00,21:01:00,13:09:00,61.7,151.496,15:42:00
25/05/2010,05:18:00,21:02:00,13:09:00,61.8,151.523,15:44:00
26/05/2010,05:17:00,21:03:00,13:09:00,62,151.549,15:46:00
27/05/2010,05:16:00,21:04:00,13:10:00,62.2,151.575,15:48:00
28/05/2010,05:15:00,21:05:00,13:10:00,62.3,151.6,15:50:00
29/05/2010,05:14:00,21:06:00,13:10:00,62.5,151.625,15:52:00
30/05/2010,05:13:00,21:07:00,13:10:00,62.6,151.65,15:54:00
31/05/2010,05:12:00,21:08:00,13:10:00,62.8,151.674,15:56:00
01/06/2010,05:12:00,21:09:00,13:10:00,62.9,151.698,15:57:00
02/06/2010,05:11:00,21:10:00,13:10:00,63,151.721,15:59:00
03/06/2010,05:10:00,21:11:00,13:11:00,63.2,151.744,16:01:00
04/06/2010,05:10:00,21:12:00,13:11:00,63.3,151.766,16:02:00
05/06/2010,05:09:00,21:13:00,13:11:00,63.4,151.787,16:04:00
06/06/2010,05:09:00,21:14:00,13:11:00,63.5,151.808,16:05:00
07/06/2010,05:08:00,21:15:00,13:11:00,63.6,151.828,16:07:00
08/06/2010,05:08:00,21:15:00,13:11:00,63.7,151.848,16:07:00
09/06/2010,05:08:00,21:16:00,13:12:00,63.8,151.866,16:08:00
10/06/2010,05:07:00,21:17:00,13:12:00,63.8,151.884,16:10:00
11/06/2010,05:07:00,21:17:00,13:12:00,63.9,151.9,16:10:00
12/06/2010,05:07:00,21:18:00,13:12:00,64,151.916,16:11:00
13/06/2010,05:07:00,21:19:00,13:13:00,64,151.931,16:12:00
14/06/2010,05:07:00,21:19:00,13:13:00,64.1,151.946,16:12:00
15/06/2010,05:07:00,21:20:00,13:13:00,64.1,151.959,16:13:00
16/06/2010,05:06:00,21:20:00,13:13:00,64.2,151.972,16:14:00
17/06/2010,05:07:00,21:20:00,13:13:00,64.2,151.983,16:13:00
18/06/2010,05:07:00,21:21:00,13:14:00,64.2,151.994,16:14:00
19/06/2010,05:07:00,21:21:00,13:14:00,64.2,152.005,16:14:00
20/06/2010,05:07:00,21:21:00,13:14:00,64.2,152.014,16:14:00
21/06/2010,05:07:00,21:21:00,13:14:00,64.2,152.023,16:14:00
22/06/2010,05:07:00,21:22:00,13:14:00,64.2,152.031,16:15:00
23/06/2010,05:08:00,21:22:00,13:15:00,64.2,152.039,16:14:00
24/06/2010,05:08:00,21:22:00,13:15:00,64.2,152.046,16:14:00
25/06/2010,05:08:00,21:22:00,13:15:00,64.2,152.053,16:14:00
26/06/2010,05:09:00,21:22:00,13:15:00,64.1,152.059,16:13:00
27/06/2010,05:09:00,21:22:00,13:16:00,64.1,152.065,16:13:00
28/06/2010,05:10:00,21:22:00,13:16:00,64,152.07,16:12:00
29/06/2010,05:10:00,21:21:00,13:16:00,64,152.075,16:11:00
30/06/2010,05:11:00,21:21:00,13:16:00,63.9,152.079,16:10:00
01/07/2010,05:11:00,21:21:00,13:16:00,63.9,152.083,16:10:00
